,form,goals_scored,goals_conceded,elo
Abkhazia,9.2,10.0,4.4,1500
Afghanistan,3.0,2.3,8.5,1033
Albania,9.5,6.0,3.6,1664
Alderney,2.1,3.9,14.6,1500
Algeria,11.1,8.2,1.9,1726
Ambazonia,0.83,1.67,6.67,1500
American Samoa,2.0,3.0,32.8,1500
Andalusia,9.8,8.3,4.9,1500
Andorra,1.3,1.5,9.3,1083
Angola,5.2,5.4,6.2,1566
Anguilla,2.5,3.3,13.7,646
Antigua and Barbuda,1.0,2.0,11.7,1500
Arameans Suryoye,5.8,5.0,3.8,1500
Argentina,11.9,8.3,1.5,2113
Armenia,3.3,4.6,14.5,1389
Artsakh,6.7,13.4,5.3,1500
Aruba,3.4,5.4,11.7,949
Asturias,0.0,0.0,0.0,1500
Australia,9.0,5.2,3.8,1774
Austria,11.6,11.2,2.1,1818
Aymara,0.0,0.5,1.5,1500
Azerbaijan,1.8,3.1,11.4,1339
Bahamas,2.2,6.6,20.7,719
Bahrain,2.9,3.2,7.4,1417
Bangladesh,5.9,5.4,5.9,940
Barawa,4.2,7.8,14.1,1500
Barbados,6.6,10.5,9.0,921
Basque Country,10.8,12.4,4.5,1500
Belarus,5.4,7.2,11.3,1496
Belgium,11.2,14.3,3.4,1849
Belize,7.7,7.3,10.3,1103
Benin,6.7,4.2,7.0,1436
Bermuda,4.9,8.4,14.7,1121
Bhutan,3.8,2.1,9.9,614
Biafra,1.0,0.33,0.67,1500
Bolivia,5.7,3.1,7.2,1675
Bonaire,3.6,4.3,9.4,822
Bosnia and Herzegovina,7.6,9.0,4.6,1500
Botswana,3.6,4.0,8.6,1319
Brazil,8.2,8.0,3.8,1979
British Virgin Islands,3.1,4.7,9.3,1500
Brittany,7.5,7.5,6.3,1500
Brunei,7.1,4.4,6.6,655
Bulgaria,3.2,5.9,14.0,1452
Burkina Faso,11.3,10.1,3.7,1500
Burundi,4.3,3.6,5.3,1238
Cambodia,4.6,7.2,9.6,846
Cameroon,8.5,5.8,3.1,1559
Canada,7.9,4.0,1.6,1802
Canary Islands,3.75,5.75,1.25,1500
Cape Verde,8.3,6.8,3.7,1500
Cascadia,4.86,7.57,5.29,1500
Catalonia,8.5,9.2,4.8,1500
Cayman Islands,4.5,3.4,11.0,1500
Central African Republic,2.9,2.7,11.3,1500
Central Spain,0.0,0.5,2.0,1500
Chad,1.6,2.3,10.0,1150
Chagos Islands,2.6,7.0,25.5,1500
Chameria,4.57,6.14,3.29,1500
Chechnya,0.33,0.67,10.0,1500
Chile,6.3,5.8,5.7,1731
China PR,5.1,4.1,8.1,1500
Cilento,0.0,0.0,0.0,1500
Colombia,9.5,9.7,3.8,1998
Comoros,4.7,6.7,8.1,1359
Congo,3.3,4.1,12.1,1261
Cook Islands,4.0,3.2,15.3,1500
Corsica,6.11,3.89,1.67,1500
Costa Rica,7.5,8.6,6.3,1500
County of Nice,7.44,6.67,3.78,1500
Crimea,3.6,2.0,4.8,1500
Croatia,11.0,10.3,2.9,1933
Cuba,4.4,5.3,10.4,1230
Curaçao,6.5,7.3,4.3,1467
Cyprus,4.5,7.3,8.6,1302
Czech Republic,8.5,7.7,4.1,1500
Czechoslovakia,6.6,9.3,6.0,1864
DR Congo,10.0,4.9,1.7,1500
Darfur,0.0,0.57,42.14,1500
Denmark,10.2,13.1,5.4,1864
Djibouti,1.7,2.8,13.3,752
Dominica,3.6,4.7,11.4,940
Dominican Republic,5.2,7.7,7.1,1500
Donetsk PR,2.0,2.83,3.5,1500
Délvidék,1.5,1.5,0.5,1500
East Turkestan,3.0,8.0,5.0,1500
Ecuador,7.6,3.0,1.6,1933
Egypt,9.3,5.4,3.0,1591
El Salvador,3.4,2.5,7.3,1500
Elba Island,0.0,0.0,0.0,1500
Ellan Vannin,6.5,8.3,7.9,1500
England,11.5,10.6,1.5,2042
Equatorial Guinea,3.7,4.3,8.1,1500
Eritrea,1.2,2.5,11.0,1075
Estonia,3.3,4.5,10.5,1359
Eswatini,2.1,2.9,10.1,1233
Ethiopia,4.2,4.5,8.8,1250
Falkland Islands,2.1,4.9,16.5,1500
Faroe Islands,6.6,5.2,4.7,1500
Felvidék,5.8,5.4,8.7,1500
Fiji,5.6,5.5,11.7,1109
Finland,6.2,5.7,7.7,1509
France,11.9,10.4,3.6,2062
Franconia,2.0,2.67,3.33,1500
French Guiana,6.2,7.2,6.1,1500
Frøya,1.7,6.4,22.7,1500
Gabon,8.3,10.1,7.6,1467
Galicia,7.4,8.7,7.5,1500
Gambia,8.5,10.3,6.5,1424
Georgia,5.7,7.9,9.0,1650
German DR,9.5,8.5,6.6,1500
Germany,11.5,9.9,3.7,1910
Ghana,5.7,5.4,5.1,1509
Gibraltar,1.2,2.0,12.4,1017
Gotland,4.2,13.1,12.6,1500
Gozo,5.9,13.1,9.0,1500
Greece,7.9,10.3,7.1,1761
Greenland,9.7,8.9,6.8,1500
Grenada,8.7,10.0,7.3,1122
Guadeloupe,9.8,8.3,3.4,1336
Guam,2.0,4.0,11.5,714
Guatemala,6.0,5.8,7.0,1528
Guernsey,8.8,10.7,4.6,1500
Guinea,8.0,6.3,3.3,1485
Guinea-Bissau,2.4,3.3,7.3,1244
Guyana,8.1,10.8,10.0,1275
Găgăuzia,0.0,0.33,3.33,1500
Haiti,7.3,5.7,4.1,1542
Hitra,5.0,9.1,16.7,1500
Hmong,1.0,1.67,3.33,1500
Honduras,8.7,5.4,4.3,1567
Hong Kong,10.2,11.5,3.2,1500
Hungary,6.1,6.7,8.6,1698
Iceland,5.0,8.8,9.6,1566
India,3.6,3.4,5.6,1123
Indonesia,6.1,6.8,8.4,1341
Iran,8.1,6.0,2.7,1754
Iraq,9.4,4.6,3.2,1582
Iraqi Kurdistan,9.6,12.8,4.4,1500
Isle of Man,10.2,19.5,6.4,1500
Isle of Wight,11.9,11.3,4.4,1500
Israel,7.8,9.2,9.9,1631
Italy,10.1,12.4,7.7,1859
Ivory Coast,11.0,8.5,3.1,1500
Jamaica,9.1,7.7,3.8,1527
Japan,10.3,7.1,3.2,1878
Jersey,13.9,15.9,3.3,1500
Jordan,8.4,7.9,5.4,1687
Kabylia,1.5,1.33,8.83,1500
Kazakhstan,4.9,5.4,9.3,1410
Kenya,6.6,7.2,8.4,1344
Kernow,7.6,11.4,7.6,1500
Kiribati,0.5,2.6,43.2,584
Kosovo,11.4,9.9,5.7,1714
Kurdistan,4.8,5.6,1.4,1500
Kuwait,4.4,6.1,10.0,1330
Kyrgyzstan,4.0,6.0,8.8,1313
Kárpátalja,6.5,8.8,5.2,1500
Laos,2.6,5.9,12.3,715
Latvia,3.5,2.5,6.8,1295
Lebanon,9.0,9.3,2.8,1351
Lesotho,4.9,3.3,9.7,1215
Liberia,5.1,5.0,9.0,1299
Libya,7.4,5.0,4.3,1424
Liechtenstein,0.6,1.0,17.4,900
Lithuania,2.1,3.5,9.4,1276
Luhansk PR,2.33,2.83,4.17,1500
Luxembourg,2.7,2.5,8.0,1395
Macau,1.2,1.2,10.7,1500
Madagascar,7.7,8.8,8.2,1369
Madrid,0.0,0.0,0.0,1500
Malawi,5.7,5.2,5.8,1252
Malaysia,9.0,8.0,4.7,1314
Maldives,3.0,4.0,9.5,841
Mali,8.0,7.3,3.8,1612
Malta,4.6,3.7,10.8,1279
Manchukuo,0.0,0.0,6.33,1500
Mapuche,0.0,0.0,0.5,1500
Marshall Islands,0.0,0.0,2.0,1500
Martinique,5.2,3.2,5.0,1340
Matabeleland,4.12,3.25,7.75,1500
Maule Sur,1.5,0.5,0.0,1500
Mauritania,4.4,2.9,5.8,1310
Mauritius,2.6,3.3,7.5,1084
Mayotte,8.4,6.7,5.2,1209
Menorca,8.8,10.7,5.3,1500
Mexico,9.9,5.3,1.9,1835
Micronesia,1.71,4.71,18.43,1500
Moldova,1.0,3.1,16.6,0
Monaco,4.7,7.3,28.3,1500
Mongolia,3.3,3.0,10.4,730
Montenegro,6.5,6.1,9.9,1444
Montserrat,4.5,5.2,10.9,971
Morocco,11.8,7.6,1.2,1830
Mozambique,5.5,5.2,8.8,1389
Myanmar,5.6,6.2,9.9,956
Namibia,4.4,3.9,6.8,1311
Nepal,4.4,3.3,8.4,917
Netherlands,10.7,11.9,2.8,1959
New Caledonia,11.1,15.3,4.4,1500
New Zealand,2.9,3.1,6.5,1500
Nicaragua,4.0,3.2,8.8,1328
Niger,9.1,9.6,7.4,1403
Nigeria,11.8,10.4,3.4,1627
Niue,0.0,0.0,7.0,1500
North Korea,2.7,4.9,8.0,1500
North Macedonia,6.4,5.8,6.2,1500
North Vietnam,6.3,13.1,7.5,1500
Northern Cyprus,10.1,11.9,3.5,1500
Northern Ireland,6.3,5.7,7.1,1500
Northern Mariana Islands,2.4,3.2,24.0,1500
Norway,11.1,14.4,2.8,1922
Occitania,11.8,19.0,3.3,1500
Oman,5.8,3.4,4.9,1490
Orkney,6.8,7.9,10.0,1500
Padania,9.6,13.9,3.8,1500
Pakistan,1.6,1.0,14.8,828
Palau,0.0,1.0,3.0,1500
Palestine,5.7,4.5,6.1,1461
Panama,8.3,6.2,4.7,1742
Panjab,6.9,11.0,5.4,1500
Papua New Guinea,6.2,7.1,10.0,1500
Paraguay,7.3,4.3,4.3,1833
Parishes of Jersey,2.0,1.33,1.0,1500
Peru,2.9,2.6,6.2,1698
Philippines,8.7,9.2,6.4,1155
Poland,10.3,8.4,4.6,1735
Portugal,10.0,10.8,4.7,1976
Provence,6.3,21.7,10.8,1500
Puerto Rico,6.4,7.5,8.9,1500
Qatar,3.8,3.8,6.9,1427
Quebec,3.0,15.0,0.33,1500
Raetia,2.7,7.8,20.8,1500
Republic of Ireland,8.2,7.3,4.9,1500
Republic of St. Pauli,2.25,4.5,1.25,1500
Rhodes,9.9,8.1,5.8,1500
Romani people,3.0,6.43,12.71,1500
Romania,7.8,9.3,6.8,1642
Russia,10.3,11.2,3.6,1782
Rwanda,4.5,2.9,6.7,1310
Ryūkyū,0.0,0.0,0.0,1500
Réunion,11.3,9.4,2.2,1500
Saare County,3.5,7.0,12.6,1500
Saarland,2.33,3.33,9.78,1500
Saint Barthélemy,4.2,7.8,11.6,1500
Saint Helena,0.0,2.38,18.0,1500
Saint Kitts and Nevis,5.9,9.3,12.7,1500
Saint Lucia,5.9,5.5,12.1,1500
Saint Martin,6.0,8.3,10.3,1500
Saint Pierre and Miquelon,0.0,0.14,28.57,1500
Saint Vincent and the Grenadines,9.1,12.4,4.9,1500
Samoa,7.5,10.0,10.5,734
San Marino,0.8,2.1,19.8,1500
Sark,0.0,0.0,28.25,1500
Saudi Arabia,6.1,4.3,5.6,1500
Saugeais,0.0,0.0,0.0,1500
Scotland,8.5,7.9,4.8,1790
Sealand,4.9,8.2,12.4,1500
Seborga,0.0,0.0,0.0,1500
Senegal,10.9,8.3,2.8,1803
Serbia,7.9,5.5,6.5,1769
Seychelles,0.0,1.6,20.2,845
Shetland,5.7,10.0,10.7,1500
Sierra Leone,5.9,5.6,6.9,1500
Silesia,4.0,8.62,7.0,1500
Singapore,6.7,6.5,6.2,1131
Sint Maarten,7.8,6.0,11.9,1500
Slovakia,7.4,5.0,7.1,1687
Slovenia,6.8,3.8,5.1,1695
Solomon Islands,3.0,5.8,10.6,1500
Somalia,1.3,2.4,10.3,857
Somaliland,2.33,3.83,8.17,1500
South Africa,7.6,6.6,4.2,1500
South Korea,9.1,6.0,5.2,1500
South Ossetia,4.8,4.7,12.6,1500
South Sudan,2.5,3.8,9.8,1500
South Yemen,0.0,0.33,3.0,1500
Spain,11.2,12.9,2.6,2171
Sri Lanka,7.6,4.5,5.2,1500
Sudan,3.4,1.8,6.5,1352
Suriname,7.0,5.5,5.3,1441
Surrey,0.0,0.0,0.0,1500
Sweden,5.3,5.1,7.8,1660
Switzerland,10.1,10.1,2.7,1897
Syria,10.3,10.8,4.4,1486
Székely Land,5.4,9.2,10.6,1500
Sápmi,5.7,8.0,9.1,1500
São Tomé and Príncipe,1.0,2.0,11.2,1500
Tahiti,9.5,8.6,5.4,1147
Taiwan,3.0,6.8,13.2,866
Tajikistan,8.8,7.8,6.4,1297
Tamil Eelam,8.4,9.6,10.9,1500
Tanzania,1.6,3.2,7.7,1325
Thailand,9.6,9.9,4.9,1367
Tibet,2.4,10.6,31.4,1500
Ticino,0.0,0.5,4.0,1500
Timor-Leste,3.2,3.3,13.6,1500
Togo,4.6,4.3,6.7,1340
Tonga,1.5,5.1,24.9,520
Trinidad and Tobago,4.7,5.4,7.7,1500
Tunisia,7.1,6.5,4.5,1641
Turkey,11.0,9.6,6.1,1880
Turkmenistan,5.0,6.2,8.6,1217
Turks and Caicos Islands,4.3,3.6,9.1,1500
Tuvalu,1.1,3.7,31.2,757
Two Sicilies,2.0,1.67,5.5,1500
Uganda,8.1,6.5,6.4,1433
Ukraine,7.8,8.3,10.0,1802
United Arab Emirates,7.3,6.7,5.7,1500
United Koreans in Japan,5.5,7.7,4.0,1500
United States,8.4,7.3,5.8,1500
United States Virgin Islands,2.9,5.7,12.0,1500
Uruguay,7.9,4.3,2.9,1890
Uzbekistan,8.2,5.9,2.7,1735
Vanuatu,5.4,6.3,12.6,1114
Vatican City,0.86,1.29,8.0,1500
Venezuela,4.4,5.5,10.2,1715
Vietnam,13.2,12.7,4.8,1329
Vietnam Republic,7.6,7.3,7.9,1500
Wales,7.4,9.4,7.5,1715
Wallis Islands and Futuna,2.4,5.1,22.6,1500
West Papua,0.0,1.0,4.0,1500
Western Armenia,6.5,8.6,7.0,1500
Western Australia,4.2,6.6,10.6,1500
Western Isles,5.0,5.3,11.6,1500
Western Sahara,2.89,6.22,10.67,1500
Yemen,6.4,7.0,4.7,1137
Yemen DPR,2.0,3.8,13.5,1500
Ynys Môn,12.9,12.4,6.0,1500
Yorkshire,5.86,11.71,4.14,1500
Yoruba Nation,0.5,0.5,0.5,1500
Yugoslavia,9.3,12.1,4.7,1932
Zambia,6.1,4.1,7.5,1364
Zanzibar,8.1,6.3,6.1,1357
Zimbabwe,3.4,4.0,6.7,1352
Åland Islands,5.7,4.7,7.6,1500
